State,County,,,,,,,,AOR,,"Activation
Date",,,Submissions,,,Misdemeanor Matches,Felony Matches,,,Total Matches,"Convicted
Criminals L1",Misdemeanor Returns,,"Convicted
Criminals L2",,"Convicted
Criminals L3",Felony Returns,,"ICE Fugitives
1,2",,,"Prior
Removals and Returns1,3",,,,"EWIs, Visa
Violators and Overstays1",No Criminal Conviction Return,,Total Returns
CA,San Luis Obispo,,,,,,,,LOS,,1/5/2010,,,"45,521",,,349,"1,578",,,"1,927",97,,,79,,164,243,,2,,,121,,,,6,129,,469
CA,Solano,,,,,,,,SFR,,1/12/2010,,,"50,985",,,396,"1,514",,,"1,910",111,,,65,,103,168,,8,,,136,,,,18,162,,441
KY,Fayette,,,,,,,,CHI,,10/5/2010,,,"46,497",,,224,"1,629",,,"1,853",69,,,79,,105,184,,17,,,65,,,,12,94,,347
NC,Cumberland,,,,,,,,ATL,,2/3/2009,,,"35,838",,,127,"1,724",,,"1,851",13,,,10,,13,23,,3,,,13,,,,6,22,,58
TX,Montgomery,,,,,,,,HOU,,9/16/2009,,,"38,601",,,416,"1,427",,,"1,843",165,,,134,,215,349,,8,,,43,,,,5,56,,570
FL,Brevard,,,,,,,,MIA,,10/12/2009,,,"75,262",,,359,"1,441",,,"1,800",34,,,15,,24,39,,10,,,27,,,,9,46,,119
MO,Saint Louis,,,,,,,,CHI,,9/21/2010,,,"115,835",,,257,"1,496",,,"1,753",16,,,23,,39,62,,29,,,81,,,,26,136,,214
MI,Kent,,,,,,,,DET,,9/14/2010,,,"66,514",,,377,"1,350",,,"1,727",74,,,96,,113,209,,10,,,37,,,,6,53,,336
CA,Madera,,,,,,,,SFR,,9/14/2010,,,"24,946",,,409,"1,302",,,"1,711",104,,,95,,175,270,,1,,,115,,,,16,132,,506
MA,Middlesex,,,,,,,,BOS,,5/15/2012,,,"20,014",,,532,"1,174",,,"1,706",9,,,3,,10,13,,43,,,31,,,,10,84,,106
IL,McHenry,,,,,,,,CHI,,4/13/2010,,,"19,940",,,145,"1,548",,,"1,693",28,,,25,,50,75,,1,,,17,,,,2,20,,123
TX,Fort Bend,,,,,,,,HOU,,9/16/2009,,,"28,959",,,396,"1,286",,,"1,682",95,,,66,,67,133,,10,,,17,,,,10,37,,265
NC,Henderson,,,,,,,,ATL,,11/17/2008,,,"23,581",,,124,"1,539",,,"1,663",78,,,84,,165,249,,16,,,78,,,,13,107,,434
NC,Buncombe,,,,,,,,ATL,,11/17/2008,,,"40,805",,,150,"1,491",,,"1,641",46,,,44,,81,125,,6,,,37,,,,8,51,,222
NV,Washoe,,,,,,,,SLC,,7/13/2010,,,"32,794",,,456,"1,173",,,"1,629",82,,,60,,101,161,,2,,,43,,,,18,63,,306
SC,Greenville,,,,,,,,ATL,,9/8/2010,,,"55,897",,,216,"1,410",,,"1,626",70,,,84,,120,204,,10,,,41,,,,5,56,,330
OK,Tulsa,,,,,,,,DAL,,11/3/2009,,,"62,105",,,197,"1,392",,,"1,589",156,,,199,,157,356,,5,,,32,,,,7,44,,556
FL,Monroe,,,,,,,,MIA,,11/24/2009,,,"18,560",,,585,995,,,"1,580",6,,,12,,19,31,,8,,,23,,,,9,40,,77
