State,County,,,,,,,,AOR,,"Activation
Date",,,Submissions,,,Misdemeanor Matches,Felony Matches,,,Total Matches,"Convicted
Criminals L1",Misdemeanor Returns,,"Convicted
Criminals L2",,"Convicted
Criminals L3",Felony Returns,,"ICE Fugitives
1,2",,,"Prior
Removals and Returns1,3",,,,"EWIs, Visa
Violators and Overstays1",No Criminal Conviction Return,,Total Returns
IA,Scott,,,,,,,,SPM,,4/5/2011,,,"10,078",,,19,63,,,82,1,,,1,,6,7,,1,,,0,,,,0,1,,9
NM,Rio Arriba,,,,,,,,ELP,,12/7/2010,,,"4,124",,,21,61,,,82,2,,,3,,5,8,,0,,,3,,,,2,5,,15
TN,Jefferson,,,,,,,,NOL,,12/28/2010,,,"7,025",,,7,75,,,82,5,,,2,,5,7,,0,,,0,,,,0,0,,12
TX,Parmer,,,,,,,,DAL,,9/28/2010,,,574,,,12,70,,,82,5,,,7,,15,22,,1,,,4,,,,0,5,,32
VA,Lynchburg City,,,,,,,,WAS,,6/15/2010,,,"11,849",,,19,63,,,82,2,,,1,,4,5,,0,,,3,,,,0,3,,10
WI,Wood,,,,,,,,CHI,,1/11/2011,,,"5,765",,,10,72,,,82,2,,,4,,2,6,,0,,,2,,,,0,2,,10
IA,Crawford,,,,,,,,SPM,,1/24/2012,,,462,,,26,55,,,81,1,,,3,,2,5,,0,,,0,,,,0,0,,6
IN,Jackson,,,,,,,,CHI,,7/26/2011,,,"2,027",,,10,71,,,81,0,,,3,,12,15,,0,,,8,,,,1,9,,24
IN,Vanderburgh,,,,,,,,CHI,,12/13/2011,,,"11,528",,,18,63,,,81,2,,,6,,7,13,,0,,,1,,,,1,2,,17
NM,Eddy,,,,,,,,ELP,,11/9/2010,,,"5,442",,,19,62,,,81,0,,,1,,0,1,,0,,,0,,,,0,0,,1
SC,Pickens,,,,,,,,ATL,,9/20/2011,,,"6,587",,,9,72,,,81,2,,,2,,4,6,,1,,,3,,,,0,4,,12
TN,Loudon,,,,,,,,NOL,,1/10/2012,,,"3,140",,,7,74,,,81,5,,,3,,3,6,,0,,,1,,,,0,1,,12
WA,Adams,,,,,,,,SEA,,4/3/2012,,,491,,,19,62,,,81,3,,,2,,3,5,,0,,,0,,,,0,0,,8
LA,Ouachita Parish,,,,,,,,NOL,,5/1/2012,,,"12,261",,,12,68,,,80,2,,,0,,8,8,,1,,,9,,,,0,10,,20
LA,West Baton Rouge Parish,,,,,,,,NOL,,5/1/2012,,,"2,498",,,17,63,,,80,0,,,1,,3,4,,1,,,6,,,,0,7,,11
TX,Andrews,,,,,,,,ELP,,7/7/2010,,,"1,724",,,18,62,,,80,3,,,4,,5,9,,0,,,2,,,,0,2,,14
CA,Siskiyou,,,,,,,,SFR,,2/22/2011,,,"2,837",,,24,55,,,79,5,,,5,,7,12,,0,,,1,,,,0,1,,18
IN,Boone,,,,,,,,CHI,,4/26/2011,,,"3,000",,,13,66,,,79,2,,,0,,2,2,,0,,,1,,,,0,1,,5
IN,Kosciusko,,,,,,,,CHI,,12/13/2011,,,"2,771",,,9,70,,,79,1,,,2,,3,5,,1,,,1,,,,0,2,,8
KS,Barton,,,,,,,,CHI,,12/27/2011,,,"1,873",,,6,73,,,79,1,,,0,,4,4,,0,,,0,,,,1,1,,6
MI,Livingston,,,,,,,,DET,,4/26/2011,,,"7,129",,,22,57,,,79,4,,,2,,4,6,,0,,,1,,,,0,1,,11
NY,Cattaraugus,,,,,,,,BUF,,6/1/2011,,,"6,231",,,5,74,,,79,0,,,1,,0,1,,0,,,0,,,,0,0,,1
AL,Jackson,,,,,,,,NOL,,5/24/2011,,,"4,109",,,16,62,,,78,1,,,2,,7,9,,1,,,3,,,,0,4,,14
GA,Turner,,,,,,,,ATL,,12/6/2011,,,"1,287",,,6,72,,,78,1,,,1,,1,2,,1,,,0,,,,0,1,,4
NC,Surry,,,,,,,,ATL,,10/13/2010,,,"2,028",,,25,53,,,78,6,,,8,,5,13,,0,,,6,,,,1,7,,26
TN,Wilson,,,,,,,,NOL,,1/10/2012,,,"6,667",,,10,68,,,78,1,,,3,,4,7,,0,,,0,,,,0,0,,8
TX,Hopkins,,,,,,,,DAL,,7/7/2010,,,"3,236",,,21,57,,,78,3,,,2,,4,6,,0,,,5,,,,0,5,,14
GA,Crisp,,,,,,,,ATL,,12/6/2011,,,"2,182",,,12,65,,,77,2,,,3,,3,6,,0,,,3,,,,0,3,,11
ID,Elmore,,,,,,,,SLC,,11/29/2011,,,"1,266",,,11,66,,,77,3,,,4,,4,8,,0,,,0,,,,0,0,,11
IN,Ripley,,,,,,,,CHI,,6/14/2011,,,"2,663",,,13,64,,,77,3,,,1,,8,9,,1,,,1,,,,1,3,,15
WI,Waushara,,,,,,,,CHI,,1/11/2011,,,"2,723",,,5,72,,,77,2,,,2,,1,3,,0,,,1,,,,0,1,,6
GA,Monroe,,,,,,,,ATL,,7/12/2011,,,"2,958",,,11,65,,,76,1,,,1,,4,5,,0,,,1,,,,1,2,,8
MI,Saint Joseph,,,,,,,,DET,,9/27/2011,,,"2,680",,,23,53,,,76,2,,,6,,8,14,,0,,,3,,,,0,3,,19
MO,Newton,,,,,,,,CHI,,3/29/2011,,,"2,924",,,11,65,,,76,7,,,7,,6,13,,0,,,3,,,,0,3,,23
NY,Otsego,,,,,,,,BUF,,4/19/2011,,,"4,417",,,14,62,,,76,0,,,0,,0,0,,0,,,0,,,,0,0,,0
TN,Cumberland,,,,,,,,NOL,,1/10/2012,,,"5,444",,,10,66,,,76,0,,,1,,3,4,,0,,,1,,,,1,2,,6
TN,Greene,,,,,,,,NOL,,12/28/2010,,,"6,446",,,12,64,,,76,3,,,3,,7,10,,0,,,4,,,,1,5,,18
GA,Franklin,,,,,,,,ATL,,12/6/2011,,,"2,005",,,9,66,,,75,2,,,1,,0,1,,0,,,2,,,,0,2,,5
IN,Porter,,,,,,,,CHI,,12/13/2011,,,"8,343",,,15,60,,,75,0,,,3,,1,4,,0,,,2,,,,0,2,,6
OR,Wasco,,,,,,,,SEA,,9/27/2011,,,"2,181",,,24,51,,,75,2,,,3,,9,12,,0,,,1,,,,0,1,,15
TX,Leon,,,,,,,,HOU,,9/14/2010,,,865,,,13,62,,,75,3,,,3,,6,9,,1,,,1,,,,0,2,,14
AL,Montgomery,,,,,,,,NOL,,1/22/2013,,,"5,150",,,41,33,,,74,1,,,0,,0,0,,0,,,0,,,,0,0,,1
GA,Catoosa,,,,,,,,ATL,,7/19/2011,,,"4,995",,,13,61,,,74,0,,,1,,3,4,,0,,,1,,,,0,1,,5
MI,Saginaw,,,,,,,,DET,,6/21/2011,,,"15,001",,,16,58,,,74,1,,,1,,3,4,,0,,,3,,,,0,3,,8
TX,Austin,,,,,,,,HOU,,9/14/2010,,,"1,357",,,23,51,,,74,8,,,4,,1,5,,0,,,2,,,,0,2,,15
VA,Henry,,,,,,,,WAS,,6/15/2010,,,"6,589",,,19,55,,,74,6,,,7,,9,16,,0,,,1,,,,0,1,,23
SC,Saluda,,,,,,,,ATL,,9/20/2011,,,945,,,4,69,,,73,2,,,5,,2,7,,0,,,2,,,,3,5,,14
CA,Amador,,,,,,,,SFR,,2/1/2011,,,"3,295",,,27,45,,,72,6,,,5,,4,9,,0,,,1,,,,1,2,,17
IN,La Porte,,,,,,,,CHI,,12/13/2011,,,"5,030",,,19,53,,,72,0,,,0,,1,1,,0,,,0,,,,0,0,,1
LA,Ascension Parish,,,,,,,,NOL,,7/12/2011,,,"8,200",,,22,50,,,72,1,,,2,,7,9,,0,,,2,,,,0,2,,12
MI,Saint Clair,,,,,,,,DET,,4/26/2011,,,"8,145",,,37,35,,,72,1,,,0,,0,0,,0,,,0,,,,0,0,,1
MO,McDonald,,,,,,,,CHI,,3/29/2011,,,"1,564",,,7,65,,,72,0,,,1,,0,1,,2,,,0,,,,0,2,,3
VA,Shenandoah,,,,,,,,WAS,,6/8/2010,,,"2,705",,,25,47,,,72,6,,,1,,1,2,,0,,,0,,,,0,0,,8
WI,Manitowoc,,,,,,,,CHI,,1/11/2011,,,"2,157",,,14,58,,,72,3,,,3,,5,8,,0,,,2,,,,0,2,,13
AR,Hot Spring,,,,,,,,NOL,,5/15/2012,,,"4,975",,,28,43,,,71,1,,,2,,0,2,,0,,,0,,,,0,0,,3
GA,Butts,,,,,,,,ATL,,12/6/2011,,,"1,713",,,5,66,,,71,2,,,3,,1,4,,0,,,2,,,,0,2,,8
VA,Danville City,,,,,,,,WAS,,6/15/2010,,,"9,594",,,19,52,,,71,7,,,3,,2,5,,1,,,1,,,,0,2,,14
AR,Miller,,,,,,,,NOL,,12/14/2010,,,"10,007",,,15,55,,,70,4,,,2,,5,7,,0,,,8,,,,0,8,,19
GA,Atkinson,,,,,,,,ATL,,12/6/2011,,,598,,,5,65,,,70,0,,,2,,3,5,,0,,,0,,,,0,0,,5
MD,Saint Mary's,,,,,,,,BAL,,4/6/2010,,,"10,114",,,19,51,,,70,1,,,3,,1,4,,0,,,4,,,,3,7,,12
OK,Bryan,,,,,,,,DAL,,12/7/2010,,,"4,728",,,3,67,,,70,5,,,3,,6,9,,0,,,3,,,,0,3,,17
OR,Malheur,,,,,,,,SEA,,9/27/2011,,,"1,966",,,13,57,,,70,3,,,5,,4,9,,0,,,1,,,,0,1,,13
WI,La Crosse,,,,,,,,CHI,,1/11/2011,,,"7,446",,,18,52,,,70,0,,,0,,0,0,,0,,,1,,,,0,1,,1
CO,Broomfield,,,,,,,,DEN,,5/22/2012,,,"1,708",,,15,54,,,69,0,,,2,,3,5,,0,,,0,,,,0,0,,5
GA,Murray,,,,,,,,ATL,,7/19/2011,,,"3,121",,,14,55,,,69,2,,,1,,4,5,,0,,,0,,,,0,0,,7
MN,Blue Earth,,,,,,,,SPM,,2/7/2012,,,"1,681",,,19,50,,,69,1,,,1,,2,3,,0,,,0,,,,0,0,,4
NC,Chatham,,,,,,,,ATL,,9/8/2010,,,"1,443",,,23,46,,,69,1,,,7,,9,16,,0,,,4,,,,0,4,,21
NC,Lenoir,,,,,,,,ATL,,1/19/2011,,,"3,776",,,18,51,,,69,3,,,3,,6,9,,2,,,3,,,,0,5,,17
NH,Merrimack,,,,,,,,BOS,,5/8/2012,,,"2,949",,,17,52,,,69,0,,,1,,0,1,,0,,,0,,,,0,0,,1
OK,Comanche,,,,,,,,DAL,,12/7/2010,,,"8,435",,,3,66,,,69,2,,,4,,2,6,,0,,,3,,,,0,3,,11
SC,Kershaw,,,,,,,,ATL,,4/12/2011,,,"4,062",,,6,63,,,69,3,,,1,,4,5,,0,,,0,,,,0,0,,8
TX,Rusk,,,,,,,,DAL,,7/7/2010,,,"2,748",,,16,53,,,69,3,,,2,,8,10,,0,,,3,,,,1,4,,17
WI,Clark,,,,,,,,CHI,,1/11/2011,,,"1,835",,,17,52,,,69,2,,,5,,8,13,,0,,,1,,,,0,1,,16
CA,Inyo,,,,,,,,SFR,,2/1/2011,,,"2,108",,,19,49,,,68,3,,,2,,4,6,,0,,,3,,,,0,3,,12
GA,Rabun,,,,,,,,ATL,,12/6/2011,,,"1,268",,,7,61,,,68,2,,,2,,0,2,,1,,,2,,,,0,3,,7
KY,Clay,,,,,,,,CHI,,3/20/2012,,,"1,758",,,60,8,,,68,3,,,0,,0,0,,0,,,0,,,,0,0,,3
OR,Klamath,,,,,,,,SEA,,9/27/2011,,,"4,713",,,27,41,,,68,5,,,1,,3,4,,0,,,2,,,,1,3,,12
TN,Coffee,,,,,,,,NOL,,12/28/2010,,,"8,470",,,9,59,,,68,4,,,5,,5,10,,1,,,1,,,,0,2,,16
TN,McMinn,,,,,,,,NOL,,12/28/2010,,,"7,135",,,7,61,,,68,2,,,0,,4,4,,1,,,2,,,,1,4,,10
TX,Brown,,,,,,,,DAL,,8/10/2010,,,"4,052",,,22,46,,,68,3,,,0,,0,0,,0,,,0,,,,0,0,,3
AL,Blount,,,,,,,,NOL,,4/26/2011,,,"2,062",,,8,59,,,67,0,,,0,,5,5,,0,,,1,,,,2,3,,8
AL,Madison,,,,,,,,NOL,,1/22/2013,,,"3,854",,,11,56,,,67,0,,,0,,1,1,,0,,,0,,,,0,0,,1
IL,Stephenson,,,,,,,,CHI,,10/26/2010,,,"4,022",,,9,58,,,67,1,,,1,,0,1,,0,,,0,,,,0,0,,2
IN,Noble,,,,,,,,CHI,,5/10/2011,,,"2,176",,,8,59,,,67,2,,,3,,3,6,,0,,,0,,,,0,0,,8
KS,Harvey,,,,,,,,CHI,,6/28/2011,,,"2,268",,,5,62,,,67,2,,,3,,3,6,,1,,,1,,,,0,2,,10
KY,Franklin,,,,,,,,CHI,,3/20/2012,,,"5,193",,,9,58,,,67,3,,,4,,5,9,,0,,,1,,,,0,1,,13
MN,Lyon,,,,,,,,SPM,,2/7/2012,,,"1,260",,,21,46,,,67,6,,,2,,4,6,,1,,,3,,,,0,4,,16
NC,Wayne,,,,,,,,ATL,,12/14/2010,,,"4,095",,,34,33,,,67,2,,,4,,0,4,,1,,,0,,,,0,1,,7
NY,Seneca,,,,,,,,BUF,,4/19/2011,,,"2,331",,,9,58,,,67,0,,,7,,2,9,,0,,,3,,,,0,3,,12
SC,Chesterfield,,,,,,,,ATL,,5/17/2011,,,"3,904",,,4,63,,,67,3,,,3,,11,14,,0,,,1,,,,0,1,,18
TX,Jackson,,,,,,,,HOU,,6/15/2010,,,"1,636",,,17,50,,,67,3,,,2,,2,4,,0,,,0,,,,3,3,,10
TX,Lee,,,,,,,,HOU,,9/14/2010,,,"1,333",,,15,52,,,67,5,,,3,,8,11,,1,,,2,,,,1,4,,20
TX,Scurry,,,,,,,,DAL,,8/17/2010,,,"2,209",,,11,56,,,67,3,,,2,,5,7,,0,,,3,,,,1,4,,14
IA,Dubuque,,,,,,,,SPM,,4/5/2011,,,"6,232",,,14,52,,,66,5,,,0,,6,6,,0,,,0,,,,0,0,,11
MO,Cape Girardeau,,,,,,,,CHI,,2/8/2011,,,"6,972",,,16,50,,,66,0,,,3,,3,6,,0,,,2,,,,0,2,,8
NJ,Gloucester,,,,,,,,NEW,,2/21/2012,,,"6,138",,,30,36,,,66,1,,,0,,0,0,,0,,,1,,,,1,2,,3
NM,Curry,,,,,,,,ELP,,11/9/2010,,,"2,371",,,8,58,,,66,2,,,4,,1,5,,0,,,2,,,,1,3,,10
UT,Tooele,,,,,,,,SLC,,3/15/2011,,,"1,944",,,21,45,,,66,4,,,0,,0,0,,1,,,1,,,,0,2,,6
VA,Petersburg City,,,,,,,,WAS,,5/11/2010,,,"8,495",,,23,43,,,66,2,,,1,,0,1,,0,,,2,,,,0,2,,5
VA,Warren,,,,,,,,WAS,,6/8/2010,,,"5,067",,,11,55,,,66,2,,,1,,5,6,,1,,,1,,,,0,2,,10
WA,Kittitas,,,,,,,,SEA,,4/3/2012,,,"1,810",,,21,45,,,66,1,,,1,,4,5,,0,,,1,,,,1,2,,8
CO,Montrose,,,,,,,,DEN,,5/22/2012,,,"1,680",,,18,47,,,65,1,,,6,,6,12,,0,,,0,,,,0,0,,13
GA,Spalding,,,,,,,,ATL,,1/19/2011,,,"10,605",,,12,53,,,65,3,,,2,,0,2,,0,,,0,,,,0,0,,5
OK,LeFlore,,,,,,,,DAL,,5/17/2011,,,"3,307",,,6,59,,,65,2,,,1,,2,3,,0,,,4,,,,1,5,,10
SC,Hampton,,,,,,,,ATL,,12/14/2010,,,"2,045",,,31,34,,,65,0,,,0,,1,1,,0,,,2,,,,0,2,,3
LA,Rapides Parish,,,,,,,,NOL,,5/1/2012,,,"9,620",,,15,49,,,64,1,,,2,,0,2,,0,,,0,,,,0,0,,3
MN,Kandiyohi,,,,,,,,SPM,,2/7/2012,,,"1,085",,,16,48,,,64,1,,,3,,4,7,,0,,,0,,,,0,0,,8
NC,Lincoln,,,,,,,,ATL,,8/10/2010,,,"4,567",,,16,48,,,64,3,,,0,,7,7,,1,,,3,,,,0,4,,14
TX,Jim Wells,,,,,,,,HOU,,6/9/2009,,,"4,477",,,23,41,,,64,1,,,2,,2,4,,0,,,1,,,,0,1,,6
TX,Van Zandt,,,,,,,,DAL,,7/7/2010,,,"2,593",,,10,54,,,64,0,,,2,,6,8,,1,,,1,,,,1,3,,11
KY,Oldham,,,,,,,,CHI,,3/20/2012,,,"6,098",,,35,28,,,63,2,,,1,,1,2,,0,,,0,,,,1,1,,5
NE,Lincoln,,,,,,,,SPM,,3/6/2012,,,"2,272",,,8,55,,,63,2,,,5,,5,10,,0,,,0,,,,2,2,,14
TX,Castro,,,,,,,,DAL,,9/28/2010,,,495,,,11,52,,,63,3,,,4,,11,15,,0,,,4,,,,0,4,,22
TX,Wood,,,,,,,,DAL,,7/7/2010,,,"2,394",,,15,48,,,63,2,,,0,,5,5,,2,,,0,,,,0,2,,9
UT,Box Elder,,,,,,,,SLC,,4/20/2010,,,"2,447",,,22,41,,,63,8,,,5,,6,11,,1,,,1,,,,2,4,,23
AZ,Graham,,,,,,,,PHO,,10/26/2010,,,"3,353",,,29,33,,,62,13,,,1,,4,5,,0,,,0,,,,0,0,,18
GA,Effingham,,,,,,,,ATL,,12/6/2011,,,"3,910",,,6,56,,,62,1,,,1,,2,3,,0,,,1,,,,0,1,,5
MA,Hampshire,,,,,,,,BOS,,5/15/2012,,,"2,698",,,7,55,,,62,0,,,0,,1,1,,0,,,0,,,,0,0,,1
NC,Rockingham,,,,,,,,ATL,,10/13/2010,,,"2,603",,,21,41,,,62,5,,,8,,9,17,,1,,,3,,,,0,4,,26
NY,Clinton,,,,,,,,BUF,,5/10/2011,,,"3,526",,,16,46,,,62,1,,,0,,0,0,,0,,,0,,,,0,0,,1
OH,Stark,,,,,,,,DET,,5/10/2011,,,"13,010",,,13,49,,,62,2,,,1,,5,6,,2,,,1,,,,0,3,,11
OK,Payne,,,,,,,,DAL,,12/7/2010,,,"6,422",,,2,60,,,62,6,,,5,,3,8,,0,,,0,,,,2,2,,16
OR,Douglas,,,,,,,,SEA,,9/27/2011,,,"8,506",,,17,45,,,62,1,,,2,,0,2,,0,,,7,,,,3,10,,13
TN,Lauderdale,,,,,,,,NOL,,1/10/2012,,,"5,711",,,39,23,,,62,1,,,3,,1,4,,0,,,0,,,,0,0,,5
TX,Hutchinson,,,,,,,,DAL,,9/28/2010,,,"2,076",,,14,48,,,62,4,,,4,,1,5,,0,,,2,,,,1,3,,12
MA,Nantucket,,,,,,,,BOS,,5/15/2012,,,475,,,13,48,,,61,1,,,1,,0,1,,0,,,0,,,,0,0,,2
MS,Lafayette,,,,,,,,NOL,,11/22/2011,,,"3,466",,,5,56,,,61,2,,,1,,5,6,,0,,,3,,,,0,3,,11
NM,Otero,,,,,,,,ELP,,11/9/2010,,,"5,172",,,14,47,,,61,3,,,0,,0,0,,0,,,0,,,,3,3,,6
NV,Nye,,,,,,,,SLC,,11/23/2010,,,"2,524",,,26,35,,,61,3,,,2,,1,3,,0,,,1,,,,0,1,,7
NY,Rensselaer,,,,,,,,BUF,,5/15/2012,,,"4,706",,,28,33,,,61,1,,,1,,0,1,,0,,,0,,,,0,0,,2
TX,Palo Pinto,,,,,,,,DAL,,8/10/2010,,,"1,897",,,15,46,,,61,0,,,2,,3,5,,0,,,2,,,,3,5,,10
UT,Millard,,,,,,,,SLC,,7/27/2010,,,"1,254",,,12,49,,,61,3,,,4,,6,10,,0,,,2,,,,0,2,,15
GA,Toombs,,,,,,,,ATL,,12/6/2011,,,"2,236",,,9,51,,,60,0,,,1,,4,5,,0,,,1,,,,0,1,,6
IN,Montgomery,,,,,,,,CHI,,5/10/2011,,,"2,925",,,7,53,,,60,1,,,1,,3,4,,0,,,0,,,,1,1,,6
MN,Freeborn,,,,,,,,SPM,,2/7/2012,,,932,,,23,37,,,60,2,,,2,,2,4,,0,,,0,,,,0,0,,6
MO,Taney,,,,,,,,CHI,,3/15/2011,,,"4,529",,,9,51,,,60,2,,,3,,4,7,,1,,,2,,,,1,4,,13
NC,Robeson,,,,,,,,ATL,,1/19/2011,,,"5,665",,,26,34,,,60,1,,,6,,3,9,,0,,,5,,,,2,7,,17
WI,Monroe,,,,,,,,CHI,,1/11/2011,,,"2,817",,,6,54,,,60,1,,,3,,3,6,,0,,,1,,,,0,1,,8
GA,Camden,,,,,,,,ATL,,12/6/2011,,,"3,493",,,19,40,,,59,0,,,1,,0,1,,0,,,0,,,,0,0,,1
GA,Sumter,,,,,,,,ATL,,12/6/2011,,,"2,866",,,5,54,,,59,0,,,6,,4,10,,2,,,1,,,,0,3,,13
IN,White,,,,,,,,CHI,,4/26/2011,,,"1,715",,,7,52,,,59,1,,,0,,5,5,,0,,,0,,,,0,0,,6
TX,Lamar,,,,,,,,DAL,,7/7/2010,,,"6,315",,,12,47,,,59,4,,,6,,6,12,,0,,,3,,,,0,3,,19
AR,Hempstead,,,,,,,,NOL,,7/12/2011,,,"2,794",,,2,56,,,58,3,,,4,,2,6,,1,,,6,,,,0,7,,16
KY,Barren,,,,,,,,CHI,,3/20/2012,,,"2,683",,,12,46,,,58,1,,,2,,1,3,,0,,,2,,,,0,2,,6
MN,Carver,,,,,,,,SPM,,2/7/2012,,,"1,516",,,17,41,,,58,4,,,3,,1,4,,0,,,0,,,,1,1,,9
NY,Wyoming,,,,,,,,BUF,,3/15/2011,,,"2,803",,,2,56,,,58,0,,,0,,0,0,,0,,,0,,,,0,0,,0
TN,Maury,,,,,,,,NOL,,1/10/2012,,,"5,460",,,9,49,,,58,1,,,3,,3,6,,0,,,1,,,,0,1,,8
TX,Gray,,,,,,,,DAL,,9/28/2010,,,"2,006",,,11,47,,,58,0,,,5,,8,13,,0,,,3,,,,5,8,,21
TX,Hockley,,,,,,,,DAL,,9/21/2010,,,"2,676",,,9,49,,,58,3,,,0,,4,4,,1,,,1,,,,1,3,,10
WI,Columbia,,,,,,,,CHI,,1/11/2011,,,"4,344",,,12,46,,,58,4,,,3,,2,5,,1,,,3,,,,0,4,,13
CT,Litchfield,,,,,,,,BOS,,2/21/2012,,,"3,708",,,7,50,,,57,0,,,0,,0,0,,0,,,0,,,,0,0,,0
GA,McIntosh,,,,,,,,ATL,,12/6/2011,,,"2,143",,,8,49,,,57,1,,,0,,0,0,,1,,,0,,,,0,1,,2
MI,Monroe,,,,,,,,DET,,3/29/2011,,,"7,187",,,18,39,,,57,1,,,5,,2,7,,0,,,4,,,,2,6,,14
PA,Cumberland,,,,,,,,PHI,,5/30/2012,,,"4,152",,,27,30,,,57,3,,,1,,1,2,,0,,,0,,,,0,0,,5
CO,Gilpin,,,,,,,,DEN,,5/22/2012,,,897,,,15,41,,,56,3,,,0,,3,3,,0,,,0,,,,0,0,,6
GA,Ware,,,,,,,,ATL,,12/6/2011,,,"4,154",,,8,48,,,56,1,,,1,,1,2,,0,,,2,,,,0,2,,5
NE,Scotts Bluff,,,,,,,,SPM,,3/6/2012,,,"1,698",,,14,42,,,56,2,,,1,,4,5,,0,,,1,,,,0,1,,8
UT,Sevier,,,,,,,,SLC,,6/8/2010,,,"1,811",,,23,33,,,56,3,,,6,,2,8,,0,,,1,,,,0,1,,12
VA,Williamsburg City,,,,,,,,WAS,,6/8/2010,,,"1,660",,,13,43,,,56,0,,,3,,6,9,,2,,,0,,,,0,2,,11
ID,Power,,,,,,,,SLC,,11/29/2011,,,513,,,14,41,,,55,2,,,8,,2,10,,0,,,0,,,,0,0,,12
MN,Rice,,,,,,,,SPM,,2/7/2012,,,"1,498",,,24,31,,,55,3,,,1,,2,3,,0,,,1,,,,0,1,,7
OK,Carter,,,,,,,,DAL,,12/7/2010,,,"4,969",,,3,52,,,55,3,,,1,,4,5,,0,,,3,,,,1,4,,12
OK,Jackson,,,,,,,,DAL,,5/3/2011,,,"2,068",,,5,50,,,55,3,,,7,,4,11,,0,,,1,,,,1,2,,16
OK,Rogers,,,,,,,,DAL,,12/14/2010,,,"5,101",,,5,50,,,55,3,,,2,,2,4,,0,,,0,,,,0,0,,7
SC,Sumter,,,,,,,,ATL,,5/17/2011,,,"8,945",,,16,39,,,55,2,,,2,,3,5,,0,,,4,,,,0,4,,11
WA,Cowlitz,,,,,,,,SEA,,4/3/2012,,,"3,087",,,17,38,,,55,7,,,0,,4,4,,0,,,1,,,,1,2,,13
FL,Citrus,,,,,,,,MIA,,6/22/2010,,,"13,057",,,17,37,,,54,1,,,1,,1,2,,0,,,0,,,,0,0,,3
GA,Putnam,,,,,,,,ATL,,12/6/2011,,,"1,634",,,9,45,,,54,0,,,2,,1,3,,0,,,0,,,,0,0,,3
KY,Scott,,,,,,,,CHI,,3/20/2012,,,"1,528",,,7,47,,,54,1,,,4,,0,4,,0,,,0,,,,0,0,,5
MI,Ionia,,,,,,,,DET,,4/26/2011,,,"4,895",,,5,49,,,54,1,,,5,,3,8,,0,,,2,,,,0,2,,11
MI,Oceana,,,,,,,,DET,,9/27/2011,,,"1,483",,,7,47,,,54,5,,,4,,7,11,,0,,,4,,,,0,4,,20
NC,Macon,,,,,,,,ATL,,7/13/2010,,,997,,,9,45,,,54,7,,,5,,5,10,,0,,,4,,,,1,5,,22
NJ,Warren,,,,,,,,NEW,,2/21/2012,,,"1,701",,,16,38,,,54,2,,,1,,2,3,,0,,,0,,,,1,1,,6
TX,Carson,,,,,,,,DAL,,9/28/2010,,,658,,,25,29,,,54,2,,,4,,5,9,,0,,,3,,,,1,4,,15
TX,Grimes,,,,,,,,HOU,,9/14/2010,,,"1,740",,,14,40,,,54,1,,,1,,3,4,,2,,,1,,,,0,3,,8
TX,Lamb,,,,,,,,DAL,,9/28/2010,,,"1,984",,,15,39,,,54,2,,,6,,1,7,,0,,,2,,,,1,3,,12
TX,Lampasas,,,,,,,,SNA,,6/29/2010,,,"1,527",,,8,46,,,54,2,,,3,,5,8,,0,,,6,,,,0,6,,16
GA,Thomas,,,,,,,,ATL,,12/6/2011,,,"4,831",,,5,48,,,53,1,,,1,,2,3,,0,,,0,,,,0,0,,4
IN,Floyd,,,,,,,,CHI,,12/13/2011,,,"3,335",,,9,44,,,53,0,,,2,,3,5,,2,,,2,,,,0,4,,9
ND,Stark,,,,,,,,SPM,,4/10/2012,,,"1,482",,,10,43,,,53,1,,,0,,0,0,,0,,,0,,,,0,0,,1
PA,Franklin,,,,,,,,PHI,,5/30/2012,,,"2,310",,,12,41,,,53,3,,,0,,2,2,,0,,,0,,,,0,0,,5
TX,Aransas,,,,,,,,HOU,,6/15/2010,,,"3,385",,,13,40,,,53,1,,,2,,0,2,,0,,,0,,,,0,0,,3
UT,Uintah,,,,,,,,SLC,,5/24/2011,,,"3,161",,,8,45,,,53,4,,,4,,4,8,,0,,,2,,,,0,2,,14
WV,Kanawha,,,,,,,,PHI,,10/26/2010,,,"13,594",,,6,47,,,53,0,,,0,,0,0,,0,,,0,,,,2,2,,2
IN,Daviess,,,,,,,,CHI,,6/7/2011,,,"1,353",,,6,46,,,52,4,,,5,,4,9,,1,,,4,,,,0,5,,18
IN,Dubois,,,,,,,,CHI,,12/13/2011,,,"1,656",,,11,41,,,52,1,,,2,,3,5,,0,,,0,,,,0,0,,6
MT,Yellowstone,,,,,,,,SLC,,8/10/2010,,,"12,400",,,16,36,,,52,0,,,2,,1,3,,0,,,0,,,,0,0,,3
NC,Caldwell,,,,,,,,ATL,,8/10/2010,,,"1,858",,,14,38,,,52,8,,,1,,9,10,,1,,,2,,,,2,5,,23
NE,Saline,,,,,,,,SPM,,3/6/2012,,,335,,,3,49,,,52,0,,,3,,4,7,,1,,,1,,,,0,2,,9
OK,Pottawatomie,,,,,,,,DAL,,11/30/2010,,,"9,677",,,11,41,,,52,0,,,1,,0,1,,1,,,2,,,,0,3,,4
OR,Lincoln,,,,,,,,SEA,,9/27/2011,,,"3,795",,,19,33,,,52,5,,,2,,6,8,,0,,,0,,,,1,1,,14
